Free: 15 spline, 51 tower
Update: 22 spline, 70 tower
Free: 11 spline, 35 tower
Update: 2 spline, 17 tower
Update: 4 spline, 40 tower
Free: 2 spline, 20 tower
Update: 4 spline, 40 tower
Free: 2 spline, 20 tower
Update: 1 spline, 10 tower
Update: 1 spline, 10 tower
Update: 1 spline, 10 tower
Update: 1 spline, 10 tower
Update: 1 spline, 10 tower
Update: 1 spline, 10 tower
Update: 1 spline, 10 tower
Update: 1 spline, 10 tower
Update: 1 spline, 10 tower
Update: 1 spline, 10 tower
Update: 8 spline, 38 tower
Free: 4 spline, 18 tower
Update: 52 spline, 148 tower
Free: 26 spline, 74 tower
Update: 34 spline, 100 tower
Free: 17 spline, 50 tower
Update: 4 spline, 16 tower
Free: 2 spline, 8 tower
Update: 4 spline, 8 tower
Update: 54 spline, 164 tower
Free: 27 spline, 82 tower
Update: 46 spline, 128 tower
Free: 23 spline, 64 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 4 spline, 8 tower
Update: 3 spline, 17 tower
Update: 13 spline, 57 tower
Free: 6 spline, 28 tower
Update: 18 spline, 82 tower
Free: 9 spline, 41 tower
Update: 18 spline, 94 tower
Free: 9 spline, 47 tower
Update: 26 spline, 84 tower
Free: 13 spline, 42 tower
Update: 22 spline, 64 tower
Free: 11 spline, 32 tower
Update: 1 spline, 7 tower
Update: 35 spline, 169 tower
Free: 18 spline, 85 tower
Update: 35 spline, 147 tower
Free: 17 spline, 70 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 1 spline, 7 tower
Update: 18 spline, 48 tower
Free: 9 spline, 24 tower
Update: 2 spline, 9 tower
Update: 8 spline, 36 tower
Free: 4 spline, 18 tower
Update: 2 spline, 9 tower
Update: 6 spline, 17 tower
Free: 3 spline, 9 tower
Update: 14 spline, 38 tower
Free: 7 spline, 19 tower
Update: 40 spline, 128 tower
Free: 20 spline, 64 tower
Update: 4 spline, 40 tower
Free: 2 spline, 20 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 14 spline, 28 tower
Update: 22 spline, 66 tower
Free: 11 spline, 33 tower
Update: 1 spline, 7 tower
Update: 12 spline, 68 tower
Free: 6 spline, 34 tower
Update: 56 spline, 173 tower
