Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
185, 5, 1, 对他们有利的交易, Update,    8.0
185, 5, 4, 您的好战性, Update,   -6.0
185, 5, 6, 您的好战性, Update,   -4.0
185, 6, 1, 他们很高兴看到另一个拥有大型常备军的文明, Activate,    6.0,    6.0,    1.0, 0, 0,   -1.0
185, 4, 6, 我们的军队已到达他们边境, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
185, 6, 1, 与一位敌人结盟, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
185, 6, 5, 与一位敌人结盟, Activate,   -4.0,   -4.0,    0.0, 0, 0,    1.0
185, 6, 1, 已谴责一位敌人, Activate,    1.0,    1.0,    0.0, 0, 0,    1.0
185, 6, 2, 已谴责一位敌人, Activate,    0.0,    0.0,    0.0, 0, 0,    1.0
185, 6, 1, 您的好战性, Update,  -19.0
185, 6, 4, 您的好战性, Update,   -6.0
185, 6, 5, 您的好战性, Update,  -22.0
185, 7, 1, 已谴责一位敌人, Activate,    2.0,    2.0,    0.0, 0, 0,    1.0
185, 7, 4, 已谴责一位敌人, Activate,    5.0,    5.0,    0.0, 0, 0,    1.0
185, 7, 2, 已谴责一位朋友, Activate,   -6.0,   -6.0,    0.0, 0, 0,    1.0
185, 7, 1, 您的好战性, Update,  -15.0
185, 7, 5, 您的好战性, Update,  -18.0
185, 7, 6, 对他们有利的交易, Update,    8.0
185, 7, 6, 您的好战性, Update,   -2.0
185, 7, 4, 对他们有利的交易, Activate,    4.0,    4.0,    0.0, 0, 2,   -1.0
185, 7,  4, 对他们有利的交易, Deactivate
185, 4, 7, 对他们有利的交易, Activate,   10.0,   10.0,    0.0, 0, 2,   -1.0
185, 4,  7, 对他们有利的交易, Deactivate
186, 0, 4, 与一位朋友结盟, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
186, 0, 7, 与一位朋友结盟, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
186, 0, 5, 我们谴责了他们, Update,   -8.0
186, 0, 5, 对他们有利的交易, Update,    1.0
186, 7, 0, 对他们有利的交易, Activate,    9.0,    9.0,    0.0, 0, 2,   -1.0
186, 7,  0, 对他们有利的交易, Deactivate
186, 0, 7, 对他们有利的交易, Activate,    9.0,    9.0,    0.0, 0, 2,   -1.0
186, 0,  7, 对他们有利的交易, Deactivate
186, 1, 7, 与一位敌人结盟, Activate,   -8.0,   -8.0,    0.0, 0, 0,    1.0
186, 1, 4, 与一位朋友结盟, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
186, 1, 5, 已谴责一位敌人, Activate,    4.0,    4.0,    0.0, 0, 0,    1.0
186, 1, 6, 他们讨厌拥有小规模常备军的文明, Activate,   -6.0,   -6.0,    1.0, 0, 0,    1.0
186, 1, 4, 我们谴责了他们, Update,    0.0
186, 2, 7, 已谴责一位敌人, Activate,    4.0,    4.0,    0.0, 0, 0,    1.0
186, 2, 5, 对他们有利的交易, Update,    2.0
186, 2, 7, 对他们有利的交易, Update,    9.0
186, 1,  2, 我们谴责了他们, Deactivate
186, 4, 5, 与一位朋友结盟, Activate,    7.0,    7.0,    0.0, 0, 0,    1.0
186, 4, 7, 已谴责一位敌人, Activate,    4.0,    4.0,    0.0, 0, 0,    1.0
186, 4, 2, 已谴责一位朋友, Activate,   -5.0,   -5.0,    0.0, 0, 0,    1.0
186, 4, 6, 拒绝向他们做出外交承诺, Activate,  -12.0,  -12.0,    0.0, 0, 10,    1.0
186, 4,  6, 拒绝向他们做出外交承诺, Deactivate
186, 7, 4, 联盟, Activate,   18.0,   18.0,    1.0, 0, 10,   -1.0
186, 4, 7, 违背了对他们做出的外交承诺, Update,   -2.0
186, 4, 7, 监视他们, Update,   -6.0
186, 5, 4, 与一位敌人结盟, Activate,   -8.0,   -8.0,    0.0, 0, 0,    1.0
186, 5, 2, 已谴责一位朋友, Activate,   -8.0,   -8.0,    0.0, 0, 0,    1.0
186, 5, 1, 尊重有强大间谍网络的对手, Activate,    8.0,    8.0,    1.0, 0, 0,    1.0
186, 5, 6, 尊重有强大间谍网络的对手, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
186, 5, 2, 对他们有利的交易, Update,    4.0
186, 5, 4, 对他们有利的交易, Update,    6.0
186, 4, 5, 我们谴责了他们, Activate,   -9.0,   -9.0,    1.0, 0, 10,    1.0
186, 6, 0, 与一位敌人结盟, Activate,   -7.0,   -7.0,    0.0, 0, 0,    1.0
186, 6, 2, 已谴责一位敌人, Activate,    6.0,    6.0,    0.0, 0, 0,    1.0
