Player,FromPlayer,Delta,New Total Weariness,Reason
6, 4, 40, 1550, Getting Attacked
4, 6, 80, 1950, Attacking
6, 4, 40, 1590, Getting Attacked
6, 2, -50, 550, At War Decay
6, 4, -50, 1540, At War Decay
6, 4, 40, 1580, Attacking
4, 6, 80, 2030, Getting Attacked
6, 4, 40, 1620, Attacking
4, 6, 80, 2110, Getting Attacked
6, 4, 80, 1700, Attacking
4, 6, 40, 2150, Getting Attacked
6, 2, 80, 630, Attacking
2, 6, 30, 3023, Getting Attacked
6, 2, 200, 830, Attacking
2, 6, 60, 3083, Getting Attacked
6, 4, 80, 1780, Attacking
4, 6, 200, 2350, Getting Attacked
6, 4, 80, 1860, Attacking
4, 6, 160, 2510, Getting Attacked
6, 4, 80, 1940, Attacking
4, 6, 80, 2590, Getting Attacked
6, 4, 80, 2020, Attacking
4, 6, 80, 2670, Getting Attacked
1, 4, 200, 200, Attacking
4, 1, 80, 80, Getting Attacked
1, 4, 80, 280, Attacking
4, 1, 40, 120, Getting Attacked
1, 4, 80, 360, Attacking
4, 1, 40, 160, Getting Attacked
1, 4, 80, 440, Attacking
4, 1, 40, 200, Getting Attacked
1, 4, 80, 520, Attacking
4, 1, 40, 240, Getting Attacked
1, 4, 80, 600, Attacking
4, 1, 40, 280, Getting Attacked
1, 4, 80, 680, Attacking
4, 1, 40, 320, Getting Attacked
1, 4, 80, 760, Attacking
4, 1, 160, 480, Getting Attacked
1, 4, 80, 840, Attacking
4, 1, 80, 560, Getting Attacked
1, 4, 80, 920, Attacking
4, 1, 40, 600, Getting Attacked
1, 4, 80, 1000, Attacking
4, 1, 40, 640, Getting Attacked
1, 4, 80, 1080, Attacking
4, 1, 40, 680, Getting Attacked
1, 4, 80, 1160, Attacking
4, 1, 160, 840, Getting Attacked
2, 6, -50, 3033, At War Decay
2, 6, 30, 3063, Attacking
6, 2, 80, 910, Getting Attacked
2, 6, 30, 3093, Attacking
6, 2, 80, 990, Getting Attacked
2, 6, 60, 3153, Attacking
6, 2, 40, 1030, Getting Attacked
2, 6, 60, 3213, Attacking
6, 2, 200, 1230, Getting Attacked
2, 6, 60, 3273, Attacking
6, 2, 80, 1310, Getting Attacked
2, 6, 60, 3333, Attacking
6, 2, 40, 1350, Getting Attacked
2, 6, 60, 3393, Attacking
6, 2, 40, 1390, Getting Attacked
2, 6, 60, 3453, Attacking
6, 2, 40, 1430, Getting Attacked
2, 6, 60, 3513, Attacking
6, 2, 40, 1470, Getting Attacked
4, 1, -50, 790, At War Decay
4, 6, -50, 2620, At War Decay
4, 6, 80, 2700, Attacking
6, 4, 80, 2100, Getting Attacked
4, 6, 40, 2740, Attacking
6, 4, 80, 2180, Getting Attacked
4, 1, 40, 830, Attacking
1, 4, 80, 1240, Getting Attacked
4, 1, 40, 870, Attacking
1, 4, 80, 1320, Getting Attacked
4, 1, 40, 910, Attacking
1, 4, 80, 1400, Getting Attacked
4, 1, 80, 990, Attacking
1, 4, 40, 1440, Getting Attacked
4, 1, 80, 1070, Attacking
1, 4, 160, 1600, Getting Attacked
4, 1, 80, 1150, Attacking
1, 4, 80, 1680, Getting Attacked
4, 6, 80, 2820, Attacking
6, 4, 40, 2220, Getting Attacked
4, 5, 80, 80, Attacking
5, 4, 40, 40, Getting Attacked
4, 6, 80, 2900, Attacking
6, 4, 40, 2260, Getting Attacked
4, 6, 80, 2980, Attacking
6, 4, 40, 2300, Getting Attacked
4, 6, 80, 3060, Attacking
6, 4, 160, 2460, Getting Attacked
4, 6, 80, 3140, Attacking
6, 4, 40, 2500, Getting Attacked
4, 6, 40, 3180, Attacking
6, 4, 80, 2580, Getting Attacked
5, 4, -50, 0, At War Decay
5, 4, 40, 40, Attacking
4, 5, 80, 160, Getting Attacked
5, 4, 40, 80, Attacking
4, 5, 80, 240, Getting Attacked
5, 7, 16, 16, Attacking
7, 5, 64, 64, Getting Attacked
5, 7, 32, 48, Attacking
7, 5, 16, 80, Getting Attacked
5, 7, 32, 80, Attacking
7, 5, 16, 96, Getting Attacked
5, 4, 40, 120, Attacking
